Term,Polarity,Score,UsedForAcquisition,UsedForReranking
amiability,POS,1,Y,
amiabily,POS,1,Y,
amiable,POS,1,Y,
amicability,POS,1,Y,
amicable,POS,1,Y,
amicably,POS,1,Y,
amiss,NEG,1,Y,
amity,POS,1,Y,
ample,POS,1,Y,
amply,POS,1,Y,
amputate,NEG,1,Y,
amuse,POS,1,Y,
amusing,POS,1,Y,
amusingly,POS,1,Y,
anarchism,NEG,1,Y,
anarchist,NEG,1,Y,
anarchistic,NEG,1,Y,
anarchy,NEG,1,Y,
anemic,NEG,1,Y,
angel,POS,1,Y,
angelic,POS,1,Y,
anger,NEG,1,Y,
angrily,NEG,1,Y,
angriness,NEG,1,Y,
angry,NEG,1,Y,
anguish,NEG,1,Y,
animosity,NEG,1,Y,
annihilate,NEG,1,Y,
annihilation,NEG,1,Y,
annoy,NEG,1,,Y
annoyance,NEG,1,Y,
annoyances,NEG,1,Y,
annoyed,NEG,1,Y,
annoying,NEG,1,Y,
annoyingly,NEG,1,Y,
annoys,NEG,1,Y,
anomalous,NEG,1,Y,
anomaly,NEG,1,Y,
antagonism,NEG,1,Y,
antagonist,NEG,1,Y,
antagonistic,NEG,1,Y,
antagonize,NEG,1,Y,
anti-,NEG,1,Y,
anti-american,NEG,1,Y,
anti-israeli,NEG,1,Y,
anti-occupation,NEG,1,Y,
anti-proliferation,NEG,1,Y,
anti-semites,NEG,1,Y,
anti-social,NEG,1,Y,
anti-us,NEG,1,Y,
anti-white,NEG,1,Y,
antipathy,NEG,1,Y,
antiquated,NEG,1,Y,
antithetical,NEG,1,Y,
anxieties,NEG,1,Y,
anxiety,NEG,1,Y,
anxious,NEG,1,Y,
anxiously,NEG,1,Y,
anxiousness,NEG,1,Y,
apathetic,NEG,1,Y,
apathetically,NEG,1,Y,
apathy,NEG,1,Y,
apocalypse,NEG,1,Y,
apocalyptic,NEG,1,Y,
apologist,NEG,1,Y,
apologists,NEG,1,Y,
apotheosis,POS,1,Y,
appal,NEG,1,Y,
appall,NEG,1,Y,
appalled,NEG,1,Y,Y
appalling,NEG,1,Y,Y
appallingly,NEG,1,Y,
appeal,POS,1,Y,
applaud,POS,1,Y,
appreciable,POS,1,Y,
appreciate,POS,1,Y,
appreciated,POS,1,Y,
appreciates,POS,1,Y,
appreciation,POS,1,Y,Y
appreciative,POS,1,Y,Y
appreciatively,POS,1,Y,
apprehension,NEG,1,Y,
apprehensions,NEG,1,Y,
apprehensive,NEG,1,Y,
apprehensively,NEG,1,Y,
approval,POS,1,Y,
approve,POS,1,Y,
arbitrary,NEG,1,Y,
arcane,NEG,1,Y,
archaic,NEG,1,Y,
ardent,POS,1,Y,
ardently,POS,1,Y,
ardor,POS,1,Y,
arduous,NEG,1,Y,
arduously,NEG,1,Y,
argumentative,NEG,1,Y,
arrogance,NEG,1,Y,
arrogant,NEG,1,Y,
arrogantly,NEG,1,Y,
articulate,POS,1,Y,
ashamed,NEG,1,Y,
asinine,NEG,1,Y,
asininely,NEG,1,Y,
asinininity,NEG,1,Y,
askance,NEG,1,Y,
asperse,NEG,1,Y,
aspersion,NEG,1,Y,
aspersions,NEG,1,Y,
aspiration,POS,1,Y,
aspirations,POS,1,Y,
aspire,POS,1,Y,
assail,NEG,1,Y,
assassin,NEG,1,Y,
assassinate,NEG,1,Y,
assault,NEG,1,Y,
assult,NEG,1,Y,
assurance,POS,1,Y,
assurances,POS,1,Y,
assure,POS,1,Y,
assuredly,POS,1,Y,
assuring,POS,1,Y,
astonish,POS,1,Y,
astonished,POS,1,Y,
astonishing,POS,1,Y,
astonishingly,POS,1,Y,
astonishment,POS,1,Y,
astound,POS,1,Y,
astounded,POS,1,Y,
astounding,POS,1,Y,
astoundingly,POS,1,Y,
astray,NEG,1,Y,
astutely,POS,1,Y,
asunder,NEG,1,Y,
atrocious,NEG,1,Y,
atrocities,NEG,1,Y,
atrocity,NEG,1,Y,
atrophy,NEG,1,Y,
attack,NEG,1,Y,
attacks,NEG,1,Y,
attentive,POS,1,Y,
attraction,POS,1,Y,
attractive,POS,1,Y,
attractively,POS,1,Y,
attune,POS,1,Y,
audacious,NEG,1,Y,
audaciously,NEG,1,Y,
audaciousness,NEG,1,Y,
audacity,NEG,1,Y,
audible,POS,1,Y,
audibly,POS,1,Y,
audiciously,NEG,1,Y,
auspicious,POS,1,Y,
austere,NEG,1,Y,
authentic,POS,1,Y,
authoritarian,NEG,1,Y,
authoritative,POS,1,Y,
autocrat,NEG,1,Y,
autocratic,NEG,1,Y,
autonomous,POS,1,Y,
available,POS,1,Y,
avalanche,NEG,1,Y,
avarice,NEG,1,Y,
avaricious,NEG,1,Y,
avariciously,NEG,1,Y,
avenge,NEG,1,Y,
aver,POS,1,Y,
averse,NEG,1,Y,
aversion,NEG,1,Y,
avid,POS,1,Y,
avidly,POS,1,Y,
award,POS,1,Y,
awarded,POS,1,Y,
awards,POS,1,Y,
awe,POS,1,Y,
awed,POS,1,Y,
aweful,NEG,1,Y,
awesome,POS,1,Y,Y
awesomely,POS,1,Y,
awesomeness,POS,1,Y,
awestruck,POS,1,Y,
awful,NEG,1,Y,Y
awfully,NEG,1,Y,
awfulness,NEG,1,Y,
awkward,NEG,1,Y,Y
awkwardness,NEG,1,Y,
awsome,POS,1,Y,
ax,NEG,1,Y,
babble,NEG,1,Y,
back-logged,NEG,1,Y,
back-wood,NEG,1,Y,
back-woods,NEG,1,Y,
backache,NEG,1,Y,
backaches,NEG,1,Y,
backaching,NEG,1,Y,
backbite,NEG,1,Y,
backbiting,NEG,1,Y,
backbone,POS,1,Y,
backward,NEG,1,Y,
backwardness,NEG,1,Y,
backwood,NEG,1,Y,
backwoods,NEG,1,Y,
bad,NEG,1,Y,
badly,NEG,1,Y,Y
baffle,NEG,1,Y,
baffled,NEG,1,Y,
bafflement,NEG,1,Y,
baffling,NEG,1,Y,
bait,NEG,1,Y,
balanced,POS,1,Y,
balk,NEG,1,Y,
banal,NEG,1,Y,
banalize,NEG,1,Y,
bane,NEG,1,Y,
banish,NEG,1,Y,
banishment,NEG,1,Y,
bankrupt,NEG,1,Y,
barbarian,NEG,1,Y,
barbaric,NEG,1,Y,
barbarically,NEG,1,Y,
barbarity,NEG,1,Y,
barbarous,NEG,1,Y,
barbarously,NEG,1,Y,
bargain,POS,1,Y,
barren,NEG,1,Y,
baseless,NEG,1,Y,
bash,NEG,1,Y,
bashed,NEG,1,Y,
bashful,NEG,1,Y,
bashing,NEG,1,Y,
bastard,NEG,1,Y,
bastards,NEG,1,Y,
battered,NEG,1,Y,
battering,NEG,1,Y,
batty,NEG,1,Y,
bearish,NEG,1,Y,
beastly,NEG,1,Y,
beauteous,POS,1,Y,
beautiful,POS,1,Y,Y
beautifullly,POS,1,Y,
beautifully,POS,1,Y,
beautify,POS,1,Y,
beauty,POS,1,Y,
beckon,POS,1,Y,
beckoned,POS,1,Y,
beckoning,POS,1,Y,
beckons,POS,1,Y,
bedlam,NEG,1,Y,
bedlamite,NEG,1,Y,
befoul,NEG,1,Y,
beg,NEG,1,Y,
beggar,NEG,1,Y,
beggarly,NEG,1,Y,
begging,NEG,1,Y,
beguile,NEG,1,Y,
belabor,NEG,1,Y,
belated,NEG,1,Y,
beleaguer,NEG,1,Y,
belie,NEG,1,Y,
believable,POS,1,Y,
believeable,POS,1,Y,
belittle,NEG,1,Y,
belittled,NEG,1,Y,
belittling,NEG,1,Y,
bellicose,NEG,1,Y,
belligerence,NEG,1,Y,
belligerent,NEG,1,Y,
belligerently,NEG,1,Y,
beloved,POS,1,Y,Y
bemoan,NEG,1,Y,
bemoaning,NEG,1,Y,
bemused,NEG,1,Y,
benefactor,POS,1,Y,
beneficent,POS,1,Y,
beneficial,POS,1,Y,
beneficially,POS,1,Y,
beneficiary,POS,1,Y,
benefit,POS,1,Y,
benefits,POS,1,Y,
benevolence,POS,1,Y,
benevolent,POS,1,Y,
benifits,POS,1,Y,
bent,NEG,1,Y,
berate,NEG,1,Y,
bereave,NEG,1,Y,
bereavement,NEG,1,Y,
bereft,NEG,1,Y,
berserk,NEG,1,Y,
beseech,NEG,1,Y,
beset,NEG,1,Y,
besiege,NEG,1,Y,
besmirch,NEG,1,Y,
best,POS,1,Y,
best-known,POS,1,Y,
best-performing,POS,1,Y,
best-selling,POS,1,Y,
bestial,NEG,1,Y,
betray,NEG,1,Y,
betrayal,NEG,1,Y,
betrayals,NEG,1,Y,
betrayer,NEG,1,Y,
betraying,NEG,1,Y,
betrays,NEG,1,Y,
better,POS,1,Y,
better-known,POS,1,Y,
better-than-expected,POS,1,Y,
beutifully,POS,1,Y,
bewail,NEG,1,Y,
beware,NEG,1,Y,
bewilder,NEG,1,Y,
bewildered,NEG,1,Y,
bewildering,NEG,1,Y,
bewilderingly,NEG,1,Y,
bewilderment,NEG,1,Y,
bewitch,NEG,1,Y,
bias,NEG,1,Y,
biased,NEG,1,Y,
biases,NEG,1,Y,
bicker,NEG,1,Y,
bickering,NEG,1,Y,
bid-rigging,NEG,1,Y,
bigotries,NEG,1,Y,
bigotry,NEG,1,Y,
bitch,NEG,1,Y,
bitchy,NEG,1,Y,
biting,NEG,1,Y,
bitingly,NEG,1,Y,
bitter,NEG,1,Y,
bitterly,NEG,1,Y,
bitterness,NEG,1,Y,
bizarre,NEG,1,Y,
blab,NEG,1,Y,
blabber,NEG,1,Y,
blackmail,NEG,1,Y,
blah,NEG,1,Y,
blame,NEG,1,Y,
blameless,POS,1,Y,
blameworthy,NEG,1,Y,
bland,NEG,1,Y,
blandish,NEG,1,Y,
blaspheme,NEG,1,Y,
blasphemous,NEG,1,Y,
blasphemy,NEG,1,Y,
blasted,NEG,1,Y,
blatant,NEG,1,Y,
blatantly,NEG,1,Y,
blather,NEG,1,Y,
bleak,NEG,1,Y,
bleakly,NEG,1,Y,
bleakness,NEG,1,Y,
bleed,NEG,1,Y,
bleeding,NEG,1,Y,
bleeds,NEG,1,Y,
blemish,NEG,1,Y,
bless,POS,1,Y,
blessing,POS,1,Y,
blind,NEG,1,Y,
blinding,NEG,1,Y,
blindingly,NEG,1,Y,
blindside,NEG,1,Y,
bliss,POS,1,Y,
blissful,POS,1,Y,Y
blissfully,POS,1,Y,
blister,NEG,1,Y,
blistering,NEG,1,Y,
blithe,POS,1,Y,
bloated,NEG,1,Y,
blockage,NEG,1,Y,
blockbuster,POS,1,Y,
blockhead,NEG,1,Y,
bloodshed,NEG,1,Y,
bloodthirsty,NEG,1,Y,
bloody,NEG,1,Y,
bloom,POS,1,Y,
blossom,POS,1,Y,
blotchy,NEG,1,Y,
blow,NEG,1,Y,
blunder,NEG,1,Y,
blundering,NEG,1,Y,
blunders,NEG,1,Y,
blunt,NEG,1,Y,
blur,NEG,1,Y,
bluring,NEG,1,Y,
blurred,NEG,1,Y,
blurring,NEG,1,Y,
blurry,NEG,1,Y,
blurs,NEG,1,Y,
blurt,NEG,1,Y,
boastful,NEG,1,Y,
boggle,NEG,1,Y,
bogus,NEG,1,Y,
boil,NEG,1,Y,
boiling,NEG,1,Y,
boisterous,NEG,1,Y,
bolster,POS,1,Y,
bomb,NEG,1,Y,
bombard,NEG,1,Y,
bombardment,NEG,1,Y,
bombastic,NEG,1,Y,
bondage,NEG,1,Y,
bonkers,NEG,1,Y,
bonny,POS,1,Y,
bonus,POS,1,Y,
bonuses,POS,1,Y,
boom,POS,1,Y,
booming,POS,1,Y,
boost,POS,1,Y,
bore,NEG,1,Y,
bored,NEG,1,Y,
boredom,NEG,1,Y,
bores,NEG,1,Y,
boring,NEG,1,Y,
botch,NEG,1,Y,
bother,NEG,1,Y,
bothered,NEG,1,Y,
bothering,NEG,1,Y,
bothers,NEG,1,Y,
bothersome,NEG,1,Y,
boundless,POS,1,Y,
bountiful,POS,1,Y,
bowdlerize,NEG,1,Y,
boycott,NEG,1,Y,
braggart,NEG,1,Y,
bragger,NEG,1,Y,
brainiest,POS,1,Y,
brainless,NEG,1,Y,
brainwash,NEG,1,Y,
brainy,POS,1,Y,
brand-new,POS,1,Y,
brash,NEG,1,Y,
brashly,NEG,1,Y,
brashness,NEG,1,Y,
brat,NEG,1,Y,
bravado,NEG,1,Y,
brave,POS,1,Y,
bravery,POS,1,Y,
bravo,POS,1,Y,
brazen,NEG,1,Y,
brazenly,NEG,1,Y,
brazenness,NEG,1,Y,
breach,NEG,1,Y,
break,NEG,1,Y,
break-up,NEG,1,Y,
break-ups,NEG,1,Y,
breakdown,NEG,1,Y,
breaking,NEG,1,Y,
breaks,NEG,1,Y,
breakthrough,POS,1,Y,
breakthroughs,POS,1,Y,
breakup,NEG,1,Y,
breakups,NEG,1,Y,
breathlessness,POS,1,Y,
breathtaking,POS,1,Y,
breathtakingly,POS,1,Y,
breeze,POS,1,Y,
bribery,NEG,1,Y,
bright,POS,1,Y,
brighten,POS,1,Y,
brighter,POS,1,Y,
brightest,POS,1,Y,
brilliance,POS,1,Y,
brilliances,POS,1,Y,
brilliant,POS,1,Y,
brilliantly,POS,1,Y,
brimstone,NEG,1,Y,
brisk,POS,1,Y,
bristle,NEG,1,Y,
brittle,NEG,1,Y,
broke,NEG,1,Y,
broken,NEG,1,Y,
broken-hearted,NEG,1,Y,
brood,NEG,1,Y,
brotherly,POS,1,Y,
browbeat,NEG,1,Y,
bruise,NEG,1,Y,
bruised,NEG,1,Y,
bruises,NEG,1,Y,
bruising,NEG,1,Y,
brusque,NEG,1,Y,
brutal,NEG,1,Y,
brutalising,NEG,1,Y,
brutalities,NEG,1,Y,
brutality,NEG,1,Y,
brutalize,NEG,1,Y,
brutalizing,NEG,1,Y,
brutally,NEG,1,Y,
brute,NEG,1,Y,
brutish,NEG,1,Y,
bs,NEG,1,Y,
buckle,NEG,1,Y,
bug,NEG,1,Y,
bugging,NEG,1,Y,
buggy,NEG,1,Y,
bugs,NEG,1,Y,
bulkier,NEG,1,Y,
bulkiness,NEG,1,Y,
bulky,NEG,1,Y,
bulkyness,NEG,1,Y,
bull----,NEG,1,Y,
bull****,NEG,1,Y,
bullies,NEG,1,Y,
bullish,POS,1,Y,
bullshit,NEG,1,Y,
bullshyt,NEG,1,Y,
bully,NEG,1,Y,
bullying,NEG,1,Y,
bullyingly,NEG,1,Y,
bum,NEG,1,Y,
bump,NEG,1,Y,
bumped,NEG,1,Y,
bumping,NEG,1,Y,
bumpping,NEG,1,Y,
bumps,NEG,1,Y,
bumpy,NEG,1,Y,
bungle,NEG,1,Y,
bungler,NEG,1,Y,
bungling,NEG,1,Y,
bunk,NEG,1,Y,
buoyant,POS,1,Y,
burden,NEG,1,Y,
burdensome,NEG,1,Y,
burdensomely,NEG,1,Y,
burn,NEG,1,Y,
burned,NEG,1,Y,
burning,NEG,1,Y,
burns,NEG,1,Y,
bust,NEG,1,Y,
busts,NEG,1,Y,
busybody,NEG,1,Y,
butcher,NEG,1,Y,
butchery,NEG,1,Y,
buzzing,NEG,1,Y,
byzantine,NEG,1,Y,
cackle,NEG,1,Y,
cajole,POS,1,Y,
calamities,NEG,1,Y,
calamitous,NEG,1,Y,
calamitously,NEG,1,Y,
calamity,NEG,1,Y,
callous,NEG,1,Y,
calm,POS,1,Y,
calming,POS,1,Y,
calmness,POS,1,Y,
calumniate,NEG,1,Y,
calumniation,NEG,1,Y,
calumnies,NEG,1,Y,
calumnious,NEG,1,Y,
calumniously,NEG,1,Y,
calumny,NEG,1,Y,
cancer,NEG,1,Y,
cancerous,NEG,1,Y,
cannibal,NEG,1,Y,
cannibalize,NEG,1,Y,
capability,POS,1,Y,
capable,POS,1,Y,
capably,POS,1,Y,
capitulate,NEG,1,Y,
capricious,NEG,1,Y,
capriciously,NEG,1,Y,
capriciousness,NEG,1,Y,
capsize,NEG,1,Y,
captivate,POS,1,Y,
captivating,POS,1,Y,
carefree,POS,1,Y,
careless,NEG,1,Y,
carelessness,NEG,1,Y,
caricature,NEG,1,Y,
carnage,NEG,1,Y,
carp,NEG,1,Y,
cartoonish,NEG,1,Y,
cash-strapped,NEG,1,Y,
cashback,POS,1,Y,
cashbacks,POS,1,Y,
castigate,NEG,1,Y,
castrated,NEG,1,Y,
casualty,NEG,1,Y,
cataclysm,NEG,1,Y,
cataclysmal,NEG,1,Y,
cataclysmic,NEG,1,Y,
cataclysmically,NEG,1,Y,
catastrophe,NEG,1,Y,
catastrophes,NEG,1,Y,
catastrophic,NEG,1,Y,Y
catastrophically,NEG,1,Y,
catastrophies,NEG,1,Y,
catchy,POS,1,Y,
caustic,NEG,1,Y,
caustically,NEG,1,Y,
cautionary,NEG,1,Y,
cave,NEG,1,Y,
celebrate,POS,1,Y,
celebrated,POS,1,Y,
celebration,POS,1,Y,
celebratory,POS,1,Y,
censure,NEG,1,Y,
chafe,NEG,1,Y,
chaff,NEG,1,Y,
chagrin,NEG,1,Y,
challenging,NEG,1,Y,
champ,POS,1,Y,
champion,POS,1,Y,
chaos,NEG,1,Y,
chaotic,NEG,1,Y,
charisma,POS,1,Y,
charismatic,POS,1,Y,
charitable,POS,1,Y,
charm,POS,1,Y,
charming,POS,1,Y,
charmingly,POS,1,Y,
chaste,POS,1,Y,
chasten,NEG,1,Y,
chastise,NEG,1,Y,
chastisement,NEG,1,Y,
chatter,NEG,1,Y,
chatterbox,NEG,1,Y,
cheap,NEG,1,Y,
cheapen,NEG,1,Y,
cheaper,POS,1,Y,
cheapest,POS,1,Y,
cheaply,NEG,1,Y,
cheat,NEG,1,Y,
cheated,NEG,1,Y,
cheater,NEG,1,Y,
cheating,NEG,1,Y,
cheats,NEG,1,Y,
checkered,NEG,1,Y,
cheer,POS,1,Y,
cheerful,POS,1,Y,
cheerless,NEG,1,Y,
cheery,POS,1,Y,
cheesy,NEG,1,Y,
cherish,POS,1,Y,
cherished,POS,1,Y,
cherub,POS,1,Y,
chic,POS,1,Y,
chide,NEG,1,Y,
childish,NEG,1,Y,
chill,NEG,1,Y,
chilly,NEG,1,Y,
chintzy,NEG,1,Y,
chivalrous,POS,1,Y,
chivalry,POS,1,Y,
choke,NEG,1,Y,
choleric,NEG,1,Y,
choppy,NEG,1,Y,
chore,NEG,1,Y,
chronic,NEG,1,Y,
chunky,NEG,1,Y,
civility,POS,1,Y,
civilize,POS,1,Y,
clamor,NEG,1,Y,
clamorous,NEG,1,Y,
clarity,POS,1,Y,
clash,NEG,1,Y,
classic,POS,1,Y,
classy,POS,1,Y,
clean,POS,1,Y,
cleaner,POS,1,Y,
cleanest,POS,1,Y,
cleanliness,POS,1,Y,
cleanly,POS,1,Y,
clear,POS,1,Y,
clear-cut,POS,1,Y,
cleared,POS,1,Y,
clearer,POS,1,Y,
clearly,POS,1,Y,
clears,POS,1,Y,
clever,POS,1,Y,
cleverly,POS,1,Y,
cliche,NEG,1,Y,
cliched,NEG,1,Y,
clique,NEG,1,Y,
clog,NEG,1,Y,
clogged,NEG,1,Y,
clogs,NEG,1,Y,
cloud,NEG,1,Y,
clouding,NEG,1,Y,
cloudy,NEG,1,Y,
clueless,NEG,1,Y,
clumsy,NEG,1,Y,
clunky,NEG,1,Y,
coarse,NEG,1,Y,
cocky,NEG,1,Y,
coerce,NEG,1,Y,
coercion,NEG,1,Y,
coercive,NEG,1,Y,
cohere,POS,1,Y,
coherence,POS,1,Y,
coherent,POS,1,Y,
cohesive,POS,1,Y,
cold,NEG,1,Y,
coldly,NEG,1,Y,
collapse,NEG,1,Y,
collude,NEG,1,Y,
collusion,NEG,1,Y,
colorful,POS,1,Y,
combative,NEG,1,Y,
combust,NEG,1,Y,
comely,POS,1,Y,
comfort,POS,1,Y,
comfortable,POS,1,Y,Y
comfortably,POS,1,Y,
comforting,POS,1,Y,
comfy,POS,1,Y,
comical,NEG,1,Y,
commend,POS,1,Y,
commendable,POS,1,Y,
commendably,POS,1,Y,
commiserate,NEG,1,Y,
commitment,POS,1,Y,
commodious,POS,1,Y,
commonplace,NEG,1,Y,
commotion,NEG,1,Y,
commotions,NEG,1,Y,
compact,POS,1,Y,
compactly,POS,1,Y,
compassion,POS,1,Y,
compassionate,POS,1,Y,
compatible,POS,1,Y,
competitive,POS,1,Y,
complacent,NEG,1,Y,
complain,NEG,1,Y,
complained,NEG,1,Y,
complaining,NEG,1,Y,
complains,NEG,1,Y,
complaint,NEG,1,Y,
complaints,NEG,1,Y,
complement,POS,1,Y,
complementary,POS,1,Y,
complemented,POS,1,Y,
complements,POS,1,Y,
complex,NEG,1,Y,
compliant,POS,1,Y,
complicated,NEG,1,Y,
complication,NEG,1,Y,
complicit,NEG,1,Y,
compliment,POS,1,Y,
complimentary,POS,1,Y,
comprehensive,POS,1,Y,
compulsion,NEG,1,Y,
compulsive,NEG,1,Y,
concede,NEG,1,Y,
conceded,NEG,1,Y,
conceit,NEG,1,Y,
conceited,NEG,1,Y,
concen,NEG,1,Y,
concens,NEG,1,Y,
concern,NEG,1,Y,
concerned,NEG,1,Y,
concerns,NEG,1,Y,
concession,NEG,1,Y,
concessions,NEG,1,Y,
conciliate,POS,1,Y,
conciliatory,POS,1,Y,
concise,POS,1,Y,
condemn,NEG,1,Y,
condemnable,NEG,1,Y,
condemnation,NEG,1,Y,
condemned,NEG,1,Y,
condemns,NEG,1,Y,
condescend,NEG,1,Y,
condescending,NEG,1,Y,
condescendingly,NEG,1,Y,
condescension,NEG,1,Y,
confess,NEG,1,Y,
confession,NEG,1,Y,
confessions,NEG,1,Y,
confidence,POS,1,Y,
confident,POS,1,Y,
confined,NEG,1,Y,
conflict,NEG,1,Y,
conflicted,NEG,1,Y,
conflicting,NEG,1,Y,
conflicts,NEG,1,Y,
confound,NEG,1,Y,
confounded,NEG,1,Y,
confounding,NEG,1,Y,
confront,NEG,1,Y,
confrontation,NEG,1,Y,
confrontational,NEG,1,Y,
confuse,NEG,1,Y,
confused,NEG,1,Y,
confuses,NEG,1,Y,
confusing,NEG,1,Y,
confusion,NEG,1,Y,
confusions,NEG,1,Y,
congenial,POS,1,Y,
congested,NEG,1,Y,
congestion,NEG,1,Y,
