,id,sentence,span1,span2,acc,target,pred,pred_proba,true_positive,span,span_token,layer_00_tsne_x,layer_00_tsne_y,layer_01_tsne_x,layer_01_tsne_y,layer_02_tsne_x,layer_02_tsne_y,layer_03_tsne_x,layer_03_tsne_y,layer_04_tsne_x,layer_04_tsne_y,layer_05_tsne_x,layer_05_tsne_y,layer_06_tsne_x,layer_06_tsne_y,layer_07_tsne_x,layer_07_tsne_y,layer_08_tsne_x,layer_08_tsne_y,layer_09_tsne_x,layer_09_tsne_y,layer_10_tsne_x,layer_10_tsne_y,layer_11_tsne_x,layer_11_tsne_y,layer_12_tsne_x,layer_12_tsne_y,sentence_idx,aggr_layer_00_tsne_x,aggr_layer_00_tsne_y,aggr_layer_01_tsne_x,aggr_layer_01_tsne_y,aggr_layer_02_tsne_x,aggr_layer_02_tsne_y,aggr_layer_03_tsne_x,aggr_layer_03_tsne_y,aggr_layer_04_tsne_x,aggr_layer_04_tsne_y,aggr_layer_05_tsne_x,aggr_layer_05_tsne_y,aggr_layer_06_tsne_x,aggr_layer_06_tsne_y,aggr_layer_07_tsne_x,aggr_layer_07_tsne_y,aggr_layer_08_tsne_x,aggr_layer_08_tsne_y,aggr_layer_09_tsne_x,aggr_layer_09_tsne_y,aggr_layer_10_tsne_x,aggr_layer_10_tsne_y,aggr_layer_11_tsne_x,aggr_layer_11_tsne_y,aggr_layer_12_tsne_x,aggr_layer_12_tsne_y,acc_coloring,tp_coloring,pred_coloring,target_coloring
10,2,"[CLS] i tried to paint a picture of an orchard , with lemon ##s in the lemon trees , but they came out looking more like light bulbs . [SEP]",lemon trees,they,1,0,0,[0.5401087  0.45989135],0,lemon trees,trees,-26.982746,-0.71528524,2.3442388,33.028492,20.504154,42.069843,25.602621,55.77436,8.098712,-20.429092,-35.86699,-26.163498,68.01898,-26.159441,16.228233,-58.5873,71.48816,-33.185005,78.40307,-41.787083,8.489728,-60.676502,18.529694,71.05434,55.723488,84.80507,1,-26.982748,-0.7152853,2.3442392,33.028492,20.504154,42.069843,25.602621,55.77436,8.098712,-20.429092,-35.86699,-26.163498,68.01898,-26.159441,16.228233,-58.5873,71.69374,-33.265907,78.40307,-41.787083,8.489728,-60.676502,18.529694,71.05434,55.723488,84.80507,1.0,0.0,0.0,0.0
11,2,"[CLS] i tried to paint a picture of an orchard , with lemon ##s in the lemon trees , but they came out looking more like light bulbs . [SEP]",lemon trees,they,1,0,0,[0.5401087  0.45989135],0,they,they,64.15357,-62.010754,-10.580354,94.91128,99.15886,19.142075,-29.179138,93.71395,22.625929,114.708664,55.372845,81.02244,30.722523,101.2653,84.23523,67.99224,28.176863,76.12171,-23.335167,53.162834,-3.514504,-52.888947,25.773836,64.63861,66.40793,83.57883,1,64.15357,-62.010754,-10.537014,94.72497,99.40962,19.398235,-29.48478,94.37194,22.639013,114.145424,55.883934,81.33383,30.53572,101.47124,83.811554,68.175606,28.363026,76.25397,-23.221119,52.674004,-3.514504,-52.888947,25.447695,64.62436,66.32109,83.798386,0.5,0.0,0.0,0.5
12,3,"[CLS] always before , larry had helped dad with his work . but he could not help him now , for dad said that his boss at the railroad company would not want anyone but him to work in the office . [SEP]",Larry,his,1,0,0,[0.551259   0.44874102],0,Larry,larry,66.35191,-25.102507,-48.156307,-67.538795,65.59456,28.926752,-59.545944,63.5463,-0.08234383,77.68286,-10.442936,111.95248,42.41589,-103.5305,39.817574,-103.066246,118.100586,-2.760865,39.43088,-95.04876,59.083565,-84.67139,-12.480614,-7.3184676,-80.4509,-52.73215,19,66.351906,-25.102507,-48.010082,-67.33355,65.59456,28.926752,-59.545944,63.5463,0.19747612,77.61082,-10.442936,111.95248,42.556763,-103.269485,39.817574,-103.066246,117.585,-2.7061648,39.7629,-95.363785,58.56401,-84.6002,-12.226349,-7.4288225,-80.4509,-52.73215,0.6666666666666666,0.0,0.0,0.3333333333333333
13,3,"[CLS] always before , larry had helped dad with his work . but he could not help him now , for dad said that his boss at the railroad company would not want anyone but him to work in the office . [SEP]",Larry,his,1,0,0,[0.551259   0.44874102],0,his,his,17.02021,86.44949,-1.9024054,115.78968,97.80617,36.750137,-19.59765,123.5115,45.930744,108.99068,82.61813,80.76553,51.33626,82.5779,85.78194,34.47445,22.98235,99.13663,-15.506676,75.5698,48.99244,81.78215,31.41731,-50.640186,-4.7809076,-82.94106,19,17.020687,86.449646,-2.1113694,115.522446,97.63016,36.579857,-19.962566,123.54237,46.10685,109.301346,82.61813,80.76553,50.922768,82.48956,85.78194,34.47445,22.645622,99.168106,-15.652723,75.88276,49.30672,81.635605,31.200546,-50.88038,-4.757355,-82.7888,0.5,0.0,0.0,0.5
14,4,"[CLS] since chester was dependent on uncle vernon , he couldn ' t very well marry without his approval [SEP]",Chester,his,0,0,1,[0.4723472 0.5276528],0,Chester,chester,-79.01252,-19.26224,-88.6405,-1.5569212,35.371834,72.06546,-29.341051,56.082413,60.3504,59.95181,63.551174,-17.064054,32.510914,-80.70551,60.99687,-81.93306,106.87625,-19.107582,40.01745,-87.23294,44.034885,-99.32732,-20.09009,-9.851951,-96.806885,-38.60525,17,-79.01252,-19.26224,-88.6405,-1.5569212,35.371834,72.06546,-29.341051,56.082413,60.3504,59.95181,63.51554,-16.879417,32.510914,-80.70551,60.99687,-81.93306,106.87625,-19.107582,40.01745,-87.23294,43.857887,-99.25186,-20.09009,-9.851951,-96.806885,-38.60525,0.0,0.0,0.5,0.5
15,4,"[CLS] since chester was dependent on uncle vernon , he couldn ' t very well marry without his approval [SEP]",Chester,his,0,0,1,[0.4723472 0.5276528],0,his,his,17.652369,90.31234,3.405456,114.17655,91.3752,42.216778,-10.9777775,124.633835,53.796562,101.81258,90.05459,72.453735,52.33823,74.393105,87.97342,45.312687,-3.5941544,99.53983,-21.049147,87.89771,46.891113,96.315094,31.29718,-63.277634,-22.344622,-75.16418,17,17.652369,90.31234,3.405456,114.17655,91.33528,42.471893,-10.979557,124.38417,53.744225,101.82985,90.05459,72.453735,52.33823,74.393105,87.97342,45.312687,-3.5941544,99.53983,-21.049147,87.89771,46.891113,96.315094,31.392647,-63.176212,-22.344622,-75.16418,0.0,0.0,0.5,0.5
16,5,[CLS] the large ball crashed right through the table because it was made of st ##yr ##of ##oa ##m . [SEP],The table,it,0,1,0,[0.51455265 0.48544732],0,The table,the,16.727324,-1.3534625,55.926758,49.741505,-57.307938,81.3317,73.82295,46.60313,54.46201,40.31662,17.558048,-91.77146,47.747166,25.983927,18.140419,-1.0948175,28.91043,-18.88307,53.620617,27.156185,15.096104,-15.305185,76.27996,53.912144,80.46307,21.288292,29,16.727324,-1.3534625,55.926758,49.741505,-57.307938,81.3317,73.82295,46.60313,54.46201,40.31662,17.558048,-91.77146,47.747166,25.983927,18.140419,-1.0948175,28.91043,-18.88307,53.620617,27.156185,15.096104,-15.305185,76.27996,53.912144,80.46307,21.288292,0.0,0.0,0.0,1.0
17,5,[CLS] the large ball crashed right through the table because it was made of st ##yr ##of ##oa ##m . [SEP],The table,it,0,1,0,[0.51455265 0.48544732],0,The table,table,-33.601517,1.441589,24.309652,34.29698,14.992275,49.383278,3.74005,49.646168,40.91744,-8.258746,32.44046,-63.282017,44.625927,-22.287708,65.24571,-67.81115,93.84144,-8.017703,58.026142,-25.638443,33.63573,-49.917892,69.87504,46.66069,61.640915,34.49233,29,-33.601517,1.441589,24.309652,34.29698,14.992275,49.383278,3.74005,49.646168,40.91744,-8.258746,32.44046,-63.282017,44.625927,-22.287708,65.24571,-67.81115,93.84144,-8.017703,58.026142,-25.638443,33.63573,-49.917892,69.87504,46.66069,61.640915,34.49233,0.0,0.0,0.0,1.0
18,5,[CLS] the large ball crashed right through the table because it was made of st ##yr ##of ##oa ##m . [SEP],The table,it,0,1,0,[0.51455265 0.48544732],0,it,it,59.623604,21.379528,47.61902,-80.753685,-97.58442,41.129074,20.72714,106.79892,-18.75171,100.580986,46.070015,79.89943,23.101635,109.72004,77.499306,71.878174,29.969421,68.5357,1.3551137,37.944023,12.361006,-20.26977,73.11853,54.16363,77.28911,24.021145,29,59.623604,21.379528,47.554455,-80.60411,-97.6326,41.370407,20.423294,106.5427,-18.751713,100.58098,46.06441,80.20228,23.101635,109.72004,77.807,71.94414,29.900341,68.55637,1.4285812,37.6826,12.361006,-20.26977,73.11861,54.166603,77.48474,24.05386,0.5,0.0,0.0,0.5
19,6,"[CLS] the path to the lake was blocked , so we couldn ' t use it . [SEP]",The path,it,0,1,0,[0.5638036  0.43619642],0,The path,the,30.68877,-3.4029086,39.192142,60.01107,-31.472305,75.45602,60.6728,59.597042,30.369968,48.302246,13.892044,-72.82882,36.06434,10.27126,19.820868,13.356566,32.212883,-12.979407,46.577904,27.77329,5.623327,-31.004839,60.584972,43.962963,93.54085,49.28961,20,30.68877,-3.4029086,39.192142,60.01107,-31.472305,75.45602,60.6728,59.597042,30.369968,48.302246,13.892044,-72.82882,36.06434,10.27126,19.820868,13.356566,32.212883,-12.979407,46.577904,27.77329,5.623327,-31.004839,60.584972,43.962963,93.54085,49.28961,0.0,0.0,0.0,1.0
20,6,"[CLS] the path to the lake was blocked , so we couldn ' t use it . [SEP]",The path,it,0,1,0,[0.5638036  0.43619642],0,The path,path,-34.62227,28.705837,18.463385,51.907604,4.4729214,59.367172,8.448415,50.334354,3.2681177,58.188717,-21.291653,-19.880766,21.333094,-36.667973,-25.620602,41.782593,38.90766,-11.210463,47.527905,20.97838,5.313565,-35.617725,56.65736,42.979412,38.1252,5.33181,20,-34.62227,28.705837,18.463385,51.907604,4.4729214,59.367172,8.448415,50.334354,3.2681177,58.188717,-21.291653,-19.880766,21.333094,-36.667973,-25.620602,41.782593,38.90766,-11.210463,47.527905,20.97838,5.313565,-35.617725,56.65736,42.979412,38.1252,5.33181,0.0,0.0,0.0,1.0
