TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,REL_GROUP
much,O,11,better,advmod,RB,,Adverbials
better,B-OP,9,find,advmod,JJR,,Adverbials
in,O,9,find,prep,IN,,Coordination
NY,O,12,in,pobj,NNP,,Prepositions
.,O,9,find,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
This,O,1,place,det,DT,,Nominals
place,O,2,has,nsubj,NN,,Subjects
has,O,2,has,ROOT,VBZ,,ROOT
the,O,6,style,det,DT,,Nominals
best,B-OP,6,style,amod,JJS,,Nominals
Chinese,O,6,style,amod,JJ,,Nominals
style,O,2,has,dobj,NN,,Objects
BBQ,B-ASP,8,ribs,compound,NN,bb ##q,Compund
ribs,I-ASP,6,style,appos,NNS,,Nominals
in,O,8,ribs,prep,IN,,Coordination
the,O,11,city,det,DT,,Nominals
city,O,9,in,pobj,NN,,Prepositions
.,O,2,has,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
The,O,1,food,det,DT,,Nominals
food,B-ASP,2,is,nsubj,NN,,Subjects
is,O,6,love,ccomp,VBZ,,Complements
great,B-OP,2,is,acomp,JJ,,Complements
",",O,6,love,punct,",",,Miscellaneous
I,O,6,love,nsubj,PRP,,Subjects
love,B-OP,6,love,ROOT,VBP,,ROOT
their,O,8,dumplings,poss,PRP$,,Nominals
dumplings,B-ASP,6,love,dobj,NNS,dump ##lings,Objects
",",O,8,dumplings,punct,",",,Miscellaneous
cold,B-ASP,11,sesame,amod,JJ,,Nominals
sesame,I-ASP,12,noodles,compound,NN,,Compund
noodles,I-ASP,8,dumplings,conj,NNS,,Coordination
",",O,12,noodles,punct,",",,Miscellaneous
chicken,B-ASP,12,noodles,conj,NN,,Coordination
and,O,14,chicken,cc,CC,,Coordination
shrimp,B-ASP,14,chicken,conj,NN,,Coordination
dishs,I-ASP,14,chicken,conj,NNP,dish ##s,Coordination
.,O,6,love,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
The,O,1,service,det,DT,,Nominals
service,B-ASP,2,was,nsubj,NN,,Subjects
was,O,2,was,ROOT,VBD,,ROOT
excellent,B-OP,5,friendly,amod,JJ,,Nominals
-,O,5,friendly,punct,HYPH,,Miscellaneous
friendly,B-OP,2,was,acomp,JJ,,Complements
and,O,5,friendly,cc,CC,,Coordination
attentive,B-OP,5,friendly,conj,JJ,at ##ten ##tive,Coordination
.,O,2,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Great,B-OP,11,was,advmod,JJ,,Adverbials
for,O,0,Great,prep,IN,,Coordination
large,O,3,groups,amod,JJ,,Nominals
groups,O,1,for,pobj,NNS,,Prepositions
and,O,3,groups,cc,CC,,Coordination
celebrations,O,3,groups,conj,NNS,,Coordination
-,O,11,was,punct,:,,Miscellaneous
our,O,10,waiter,poss,PRP$,,Nominals
SUPER,O,10,waiter,amod,NNP,,Nominals
HAPPY,B-OP,10,waiter,amod,JJ,,Nominals
waiter,B-ASP,11,was,nsubj,NN,,Subjects
was,O,11,was,ROOT,VBD,,ROOT
the,O,13,entertainment,det,DT,,Nominals
entertainment,O,11,was,attr,NN,,Objects
of,O,13,entertainment,prep,IN,,Coordination
the,O,16,evening,det,DT,,Nominals
evening,O,14,of,pobj,NN,,Prepositions
.,O,11,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
This,O,1,place,det,DT,,Nominals
place,O,2,is,nsubj,NN,,Subjects
is,O,2,is,ROOT,VBZ,,ROOT
Italian,O,6,French,amod,JJ,,Nominals
",",O,6,French,punct,",",,Miscellaneous
not,O,6,French,neg,RB,,Negation
French,O,2,is,acomp,JJ,,Complements
.,O,2,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
came,O,0,came,ROOT,VBD,,ROOT
here,O,0,came,advmod,RB,,Adverbials
for,O,0,came,prep,IN,,Coordination
restaurant,O,4,week,compound,NN,,Compund
week,O,2,for,pobj,NN,,Prepositions
",",O,0,came,punct,",",,Miscellaneous
did,O,8,save,aux,VBD,,Auxiliaries
n't,O,8,save,neg,RB,n ' t,Negation
save,O,0,came,dep,VB,,Miscellaneous
much,O,8,save,dobj,JJ,,Objects
",",O,8,save,punct,",",,Miscellaneous
but,O,0,came,cc,CC,,Coordination
it,O,13,was,nsubj,PRP,,Subjects
was,O,0,came,conj,VBD,,Coordination
still,O,13,was,advmod,RB,,Adverbials
great,B-OP,13,was,acomp,JJ,,Complements
.,O,13,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
We,O,1,ate,nsubj,PRP,,Subjects
ate,O,1,ate,ROOT,VBD,,ROOT
out,O,1,ate,prt,RP,,Compund
in,O,1,ate,prep,IN,,Coordination
the,O,6,patio,det,DT,,Nominals
back,B-ASP,6,patio,amod,JJ,,Nominals
patio,I-ASP,3,in,pobj,NN,,Prepositions
",",O,6,patio,punct,",",,Miscellaneous
which,O,9,is,nsubj,WDT,,Subjects
is,O,6,patio,relcl,VBZ,,Nominals
worth,B-OP,9,is,acomp,JJ,,Complements
it,O,10,worth,npadvmod,PRP,,Noun
as,O,14,'s,mark,IN,,Compund
it,O,14,'s,nsubj,PRP,,Subjects
's,O,10,worth,advcl,VBZ,' s,Adverbials
cool,B-OP,14,'s,acomp,JJ,,Complements
and,O,1,ate,cc,CC,,Coordination
the,O,18,music,det,DT,,Nominals
music,B-ASP,20,hear,nsubj,NN,,Subjects
is,O,20,hear,aux,VBZ,,Auxiliaries
hear,O,1,ate,conj,VB,,Coordination
well,B-OP,20,hear,advmod,RB,,Adverbials
there,O,20,hear,advmod,RB,,Adverbials
.,O,20,hear,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Great,B-OP,1,food,amod,JJ,,Nominals
food,B-ASP,1,food,ROOT,NN,,ROOT
(,O,1,food,punct,-LRB-,,Miscellaneous
spinach,B-ASP,1,food,appos,NN,spin ##ach,Nominals
and,I-ASP,3,spinach,cc,CC,,Coordination
corn,I-ASP,3,spinach,conj,NN,,Coordination
dumplings,I-ASP,3,spinach,conj,NNS,dump ##lings,Coordination
and,O,6,dumplings,cc,CC,,Coordination
massamman,O,9,curry,compound,NNP,mass ##am ##man,Compund
curry,O,6,dumplings,conj,NNP,,Coordination
),O,1,food,punct,-RRB-,,Miscellaneous
",",O,1,food,punct,",",,Miscellaneous
very,O,13,friendly,advmod,RB,,Adverbials
friendly,B-OP,1,food,amod,JJ,,Nominals
and,O,13,friendly,cc,CC,,Coordination
no,O,17,service,det,DT,,Nominals
nonsense,B-OP,17,service,compound,NN,,Compund
service,B-ASP,13,friendly,conj,NN,,Coordination
and,O,17,service,cc,CC,,Coordination
a,O,23,bathroom,det,DT,,Nominals
clean,B-OP,23,bathroom,amod,JJ,,Nominals
and,O,20,clean,cc,CC,,Coordination
funky,B-OP,20,clean,conj,JJ,,Coordination
bathroom,B-ASP,17,service,conj,NN,,Coordination
.,O,1,food,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Be,O,0,Be,ROOT,VB,,ROOT
prepared,O,0,Be,acomp,JJ,,Complements
to,O,3,wait,aux,TO,,Auxiliaries
wait,O,1,prepared,xcomp,VB,,Complements
",",O,0,Be,punct,",",,Miscellaneous
because,O,8,is,mark,IN,,Compund
the,O,7,place,det,DT,,Nominals
place,B-ASP,8,is,nsubj,NN,,Subjects
is,O,0,Be,advcl,VBZ,,Adverbials
pretty,O,10,tiny,advmod,RB,,Adverbials
tiny,B-OP,8,is,acomp,JJ,,Complements
.,O,0,Be,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Not,O,1,one,neg,RB,,Negation
one,O,17,called,nsubj,CD,,Subjects
to,O,3,jump,aux,TO,,Auxiliaries
jump,O,1,one,relcl,VB,,Nominals
to,O,3,jump,prep,IN,,Coordination
complaints,O,4,to,pobj,NNS,,Prepositions
(,O,9,lack,punct,-LRB-,,Miscellaneous
hence,O,9,lack,advmod,RB,,Adverbials
my,O,9,lack,poss,PRP$,,Nominals
lack,O,1,one,appos,NN,,Nominals
of,O,9,lack,prep,IN,,Coordination
previous,O,13,reviewing,amod,JJ,,Nominals
online,O,13,reviewing,amod,NN,,Nominals
reviewing,O,10,of,pobj,NN,,Prepositions
),O,9,lack,punct,-RRB-,,Miscellaneous
",",O,17,called,punct,",",,Miscellaneous
I,O,17,called,nsubj,PRP,,Subjects
called,O,17,called,ROOT,VBD,,ROOT
the,O,19,restaurant,det,DT,,Nominals
restaurant,O,17,called,dobj,NN,,Objects
to,O,21,give,aux,TO,,Auxiliaries
give,O,17,called,advcl,VB,,Adverbials
them,O,21,give,dative,PRP,,Objects
a,O,24,heads,det,DT,,Nominals
heads,O,21,give,dobj,NNS,,Objects
up,O,24,heads,prep,RP,,Coordination
that,O,30,want,mark,IN,,Compund
their,O,28,kitchen,poss,PRP$,,Nominals
kitchen,O,30,want,nsubj,NN,,Subjects
might,O,30,want,aux,MD,,Auxiliaries
want,O,24,heads,relcl,VB,,Nominals
to,O,32,check,aux,TO,,Auxiliaries
check,O,30,want,xcomp,VB,,Complements
the,O,34,cleanliness,det,DT,,Nominals
cleanliness,O,32,check,dobj,NN,clean ##liness,Objects
of,O,34,cleanliness,prep,IN,,Coordination
their,O,38,stations,poss,PRP$,,Nominals
prep,O,38,stations,compound,NN,,Compund
stations,O,35,of,pobj,NNS,,Prepositions
.,O,17,called,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,1,recommend,nsubj,PRP,,Subjects
recommend,B-OP,1,recommend,ROOT,VBP,,ROOT
ordering,O,1,recommend,xcomp,VBG,,Complements
in,O,2,ordering,prt,RP,,Compund
on,O,2,ordering,prep,IN,,Coordination
a,O,6,weeknight,det,DT,,Nominals
weeknight,O,4,on,pobj,NN,week ##night,Prepositions
.,O,1,recommend,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Pizzas,B-ASP,1,were,nsubj,NNS,pizza ##s,Subjects
were,O,1,were,ROOT,VBD,,ROOT
excellent,B-OP,1,were,acomp,JJ,,Complements
in,O,1,were,prep,IN,,Coordination
addition,O,3,in,pobj,NN,,Prepositions
to,O,4,addition,prep,IN,,Coordination
appetizers,B-ASP,5,to,pobj,NNS,app ##eti ##zers,Prepositions
and,O,6,appetizers,cc,CC,,Coordination
main,B-ASP,9,courses,amod,JJ,,Nominals
courses,I-ASP,6,appetizers,conj,NNS,,Coordination
.,O,1,were,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
A,O,3,restaurant,det,DT,,Nominals
very,O,2,inviting,advmod,RB,,Adverbials
inviting,B-OP,3,restaurant,amod,JJ,,Nominals
restaurant,O,3,restaurant,ROOT,NN,,ROOT
",",O,3,restaurant,punct,",",,Miscellaneous
with,O,3,restaurant,prep,IN,,Coordination
friendly,B-OP,7,service,amod,JJ,,Nominals
service,B-ASP,5,with,pobj,NN,,Prepositions
.,O,3,restaurant,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Wondering,O,11,formed,csubj,VBG,,Subjects
who,O,2,had,nsubj,WP,,Subjects
had,O,0,Wondering,ccomp,VBD,,Complements
the,O,5,deals,det,DT,,Nominals
best,O,5,deals,amod,JJS,,Nominals
deals,O,2,had,dobj,NNS,,Objects
we,O,7,noticed,nsubj,PRP,,Subjects
noticed,O,5,deals,relcl,VBD,,Nominals
a,O,9,line,det,DT,,Nominals
line,O,7,noticed,dobj,NN,,Objects
had,O,11,formed,aux,VBD,,Auxiliaries
formed,O,11,formed,ROOT,VBN,,ROOT
to,O,13,wait,aux,TO,,Auxiliaries
wait,O,11,formed,xcomp,VB,,Complements
for,O,13,wait,prep,IN,,Coordination
this,O,18,establishment,det,DT,,Nominals
one,O,18,establishment,nummod,CD,,Nominals
particular,O,18,establishment,amod,JJ,,Nominals
establishment,O,14,for,pobj,NN,,Prepositions
.,O,11,formed,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
We,O,1,parked,nsubj,PRP,,Subjects
parked,O,1,parked,ROOT,VBD,,ROOT
on,O,1,parked,prep,IN,,Coordination
the,O,4,block,det,DT,,Nominals
block,O,2,on,pobj,NN,,Prepositions
of,O,4,block,prep,IN,,Coordination
Nina,O,9,place,poss,NNP,,Nominals
's,O,6,Nina,case,POS,' s,Compund
the,O,9,place,det,DT,,Nominals
place,B-ASP,5,of,pobj,NN,,Prepositions
looked,O,1,parked,conj,VBD,,Coordination
nice,B-OP,10,looked,acomp,JJ,,Complements
",",O,10,looked,punct,",",,Miscellaneous
with,O,10,looked,prep,IN,,Coordination
people,O,16,enjoying,nsubj,NNS,,Subjects
obviously,O,16,enjoying,advmod,RB,,Adverbials
enjoying,B-OP,13,with,pcomp,VBG,,Prepositions
their,O,18,pizzas,poss,PRP$,,Nominals
pizzas,B-ASP,16,enjoying,dobj,NNS,pizza ##s,Objects
.,O,1,parked,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
After,O,5,complained,prep,RB,,Coordination
all,O,2,that,predet,RB,,Nominals
that,O,0,After,pobj,DT,,Prepositions
",",O,5,complained,punct,",",,Miscellaneous
they,O,5,complained,nsubj,PRP,,Subjects
complained,O,5,complained,ROOT,VBD,,ROOT
to,O,5,complained,prep,IN,,Coordination
me,O,6,to,pobj,PRP,,Prepositions
about,O,5,complained,prep,IN,,Coordination
the,O,11,tip,det,DT,,Nominals
small,O,11,tip,amod,JJ,,Nominals
tip,O,8,about,pobj,NN,,Prepositions
.,O,5,complained,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Just,O,1,wish,advmod,RB,,Adverbials
wish,O,1,wish,ROOT,VB,,ROOT
they,O,4,expand,nsubj,PRP,,Subjects
'd,O,4,expand,aux,MD,' d,Auxiliaries
expand,O,1,wish,ccomp,VB,,Complements
.,O,1,wish,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
the,O,1,icing,det,DT,,Nominals
icing,O,7,was,npadvmod,NN,ic ##ing,Noun
MADE,O,1,icing,advmod,RB,,Adverbials
this,O,4,cake,det,DT,,Nominals
cake,B-ASP,2,MADE,dobj,NN,,Objects
",",O,7,was,punct,",",,Miscellaneous
it,O,7,was,nsubj,PRP,,Subjects
was,O,7,was,ROOT,VBD,,ROOT
fluffy,B-OP,7,was,acomp,JJ,,Complements
",",O,8,fluffy,punct,",",,Miscellaneous
not,O,11,ultra,neg,RB,,Negation
ultra,B-OP,12,sweet,advmod,JJ,,Adverbials
sweet,I-OP,8,fluffy,conj,JJ,,Coordination
",",O,12,sweet,punct,",",,Miscellaneous
creamy,B-OP,12,sweet,conj,JJ,,Coordination
and,O,14,creamy,cc,CC,,Coordination
light,B-OP,14,creamy,conj,NN,,Coordination
.,O,7,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Ca,O,2,argue,aux,MD,,Auxiliaries
n't,O,2,argue,neg,RB,n ' t,Negation
argue,O,2,argue,ROOT,VB,,ROOT
about,O,2,argue,prep,IN,,Coordination
that,O,3,about,pobj,DT,,Prepositions
",",O,2,argue,punct,",",,Miscellaneous
but,O,2,argue,cc,CC,,Coordination
they,O,8,are,nsubj,PRP,,Subjects
are,O,2,argue,conj,VBP,,Coordination
clearly,O,8,are,advmod,RB,,Adverbials
over,O,11,priced,advmod,IN,,Adverbials
priced,O,8,are,acomp,VBN,,Complements
.,O,8,are,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
This,O,1,is,nsubj,DT,,Subjects
is,O,1,is,ROOT,VBZ,,ROOT
a,O,4,restaurant,det,DT,,Nominals
fun,B-OP,4,restaurant,amod,NN,,Nominals
restaurant,O,1,is,attr,NN,,Objects
to,O,6,go,aux,TO,,Auxiliaries
go,O,4,restaurant,relcl,VB,,Nominals
to,O,6,go,prep,IN,,Coordination
.,O,1,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
We,O,1,were,nsubj,PRP,,Subjects
were,O,1,were,ROOT,VBD,,ROOT
very,O,3,pleasantly,advmod,RB,,Adverbials
pleasantly,B-OP,4,surprised,advmod,RB,,Adverbials
surprised,I-OP,1,were,acomp,JJ,,Complements
.,O,1,were,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
excellent,B-OP,1,tapas,amod,JJ,,Nominals
tapas,B-ASP,1,tapas,ROOT,NNS,tap ##as,ROOT
at,O,1,tapas,prep,IN,,Coordination
great,B-OP,4,prices,amod,JJ,,Nominals
prices,B-ASP,2,at,pobj,NNS,,Prepositions
",",O,4,prices,punct,",",,Miscellaneous
romantic,B-OP,4,prices,amod,JJ,,Nominals
",",O,6,romantic,punct,",",,Miscellaneous
small,B-OP,6,romantic,conj,JJ,,Coordination
but,O,8,small,cc,CC,,Coordination
not,O,11,overly,neg,RB,,Negation
overly,B-OP,12,crowed,advmod,RB,,Adverbials
crowed,I-OP,8,small,conj,VBN,crowe ##d,Coordination
",",O,14,excellent,punct,",",,Miscellaneous
excellent,B-OP,1,tapas,parataxis,JJ,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,2,suggest,nsubj,PRP,,Subjects
absolutely,O,2,suggest,advmod,RB,,Adverbials
suggest,O,2,suggest,ROOT,VBP,,ROOT
this,O,4,place,det,DT,,Nominals
place,O,2,suggest,dobj,NN,,Objects
.,O,2,suggest,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,1,was,nsubj,PRP,,Subjects
was,O,1,was,ROOT,VBD,,ROOT
one,O,1,was,attr,CD,,Objects
of,O,2,one,prep,IN,,Coordination
the,O,5,people,det,DT,,Nominals
people,O,3,of,pobj,NNS,,Prepositions
that,O,7,went,nsubj,WDT,,Subjects
went,O,5,people,relcl,VBD,,Nominals
for,O,7,went,prep,IN,,Coordination
this,O,11,experience,det,DT,,Nominals
horrible,O,11,experience,amod,JJ,,Nominals
experience,O,8,for,pobj,NN,,Prepositions
.,O,1,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Pricey,B-OP,0,Pricey,ROOT,JJ,price ##y,ROOT
",",O,0,Pricey,punct,",",,Miscellaneous
but,O,0,Pricey,cc,CC,,Coordination
worth,B-OP,0,Pricey,conj,JJ,,Coordination
a,O,5,try,det,DT,,Nominals
try,O,3,worth,npadvmod,NN,,Noun
",",O,3,worth,punct,",",,Miscellaneous
at,O,8,least,advmod,IN,,Adverbials
least,O,9,once,advmod,JJS,,Adverbials
once,O,3,worth,advmod,RB,,Adverbials
.,O,0,Pricey,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Good,B-OP,1,spreads,amod,JJ,,Nominals
spreads,B-ASP,9,tasty,nsubj,VBZ,,Subjects
",",O,1,spreads,punct,",",,Miscellaneous
great,B-OP,5,selections,amod,JJ,,Nominals
beverage,B-ASP,5,selections,compound,NN,,Compund
selections,I-ASP,1,spreads,conj,NNS,,Coordination
and,O,5,selections,cc,CC,,Coordination
bagels,B-ASP,5,selections,conj,NNS,bag ##els,Coordination
really,O,9,tasty,advmod,RB,,Adverbials
tasty,B-OP,9,tasty,ROOT,JJ,ta ##sty,ROOT
.,O,9,tasty,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Atmosphere,B-ASP,1,is,nsubj,NNP,,Subjects
is,O,1,is,ROOT,VBZ,,ROOT
nice,B-OP,1,is,acomp,JJ,,Complements
and,O,2,nice,cc,CC,,Coordination
relaxed,B-OP,2,nice,conj,JJ,,Coordination
too,O,4,relaxed,advmod,RB,,Adverbials
...,O,1,is,punct,.,. . .,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Great,B-OP,1,place,amod,JJ,,Nominals
place,B-ASP,1,place,ROOT,NN,,ROOT
",",O,1,place,punct,",",,Miscellaneous
great,B-OP,4,value,amod,JJ,,Nominals
value,O,1,place,appos,NN,,Nominals
.,O,1,place,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Kind,O,1,of,advmod,RB,,Adverbials
of,O,1,of,ROOT,RB,,ROOT
a,O,4,place,det,DT,,Nominals
small,B-OP,4,place,amod,JJ,,Nominals
place,B-ASP,1,of,pobj,NN,,Prepositions
but,O,7,guess,cc,CC,,Coordination
I,O,7,guess,nsubj,PRP,,Subjects
guess,O,7,guess,ROOT,VBP,,ROOT
if,O,10,are,mark,IN,,Compund
they,O,10,are,nsubj,PRP,,Subjects
are,O,15,be,csubj,VBP,,Subjects
not,O,10,are,neg,RB,,Negation
too,O,13,busy,advmod,RB,,Adverbials
busy,B-OP,10,are,acomp,JJ,,Complements
might,O,15,be,aux,MD,,Auxiliaries
be,O,7,guess,ccomp,VB,,Complements
able,O,15,be,acomp,JJ,,Complements
to,O,18,fit,aux,TO,,Auxiliaries
fit,O,16,able,xcomp,VB,,Complements
a,O,20,group,det,DT,,Nominals
