Request type,Message,Message direction,Valid request,Subject head,subject NP,Direct object head,Direct object NP,Indirect object head,Indirect object NP
send ,If you get to the offie today please send me the data we worked on together,INCOMING,FALSE,,,,,,
send,if possible please send me the data we worked on together,INCOMING,TRUE,,,data,the data,me,me
send,it's very urgent so please send it once you get to the office,INCOMING,TRUE,,,it,it,,
send,you can send the file by the end of the day but please no longer than that,INCOMING,TRUE,you,you,file,the file,,
send,I will send you the file once I finish editing it,OUTGOING,TRUE,I,I,file,the file,you,you
send,please send me a file from the last data,INCOMING,TRUE,,,file,a file,me,me
send,I will send you a file from the data soon,OUTGOING,TRUE,I,I,file,a file,you,you
send,please send me the new email ASAP,INCOMING,TRUE,,,email,the new email,me,me
send,please send me an email when you reach the office,INCOMING,TRUE,,,email,en email,me,me
send,if you are here send me an email,INCOMING,FALSE,,,,,,
send,Hi please send me all the information needed for this task,INCOMING,TRUE,,,information,all the information ,me,me
send,Can you please send John your last results?,INCOMING,TRUE,you,you,results,your last results,John,John
send,Yes I will send John the last report,OUTGOING,TRUE,I,I,report,the last report,John,John
send,Please send me your last report ,INCOMING,TRUE,,,report,your last report,me,me
send,I will send him my lists today,OUTGOING,TRUE,I,I,lists,my lists,him,him
send,I need to send you the data first,OUTGOING,TRUE,I,I,data,the data,you,you
submit,please all submit your requests ,INCOMING,TRUE,,,requests,your requests,,
submit,"Yes, you need to submit your vote ASAP",INCOMING,TRUE,you,you,vote,your vote,,
submit,"No, don't submit it yet",INCOMING,FALSE,,,,,,
submit,Hi I need you to submit all the requests ASAP,INCOMING,TRUE,you,you,requests,all the requests,,
submit,Yes if you can please submit it today,INCOMING,TRUE,you,you,it,it,,
submit,"It is very urgent, please submit your vote when you get to the office",INCOMING,TRUE,,,vote,your vote,,
submit,I forgot to submit my request,OUTGOING,FALSE,,,,,,
submit,I need to ask you to submit your paper,INCOMING,TRUE,you,you,paper,your paper ,,
submit,Please submit your vote today,INCOMING,TRUE,,,vote,your vote,,
submit,Yes I will submit a request,OUTGOING,TRUE,I,I,request,a request,,
post,please post the topic in the forum,INCOMING,TRUE,,,topic,the topic,,
post,I will post the presentation today,OUTGOING,TRUE,I,I,presentation,the presentation,,
post,please post a one-slide presentation,INCOMING,TRUE,,,presentation,a one-slide presentation,,
post,"yes, you are right, I will post something about it soon",OUTGOING,TRUE,I,I,something,something,,
post,Hi if it's possible please post the message today,INCOMING,TRUE,,,message,the message,,
post,Hi if you are in the office post a short message about what we said ,INCOMING,FALSE,,,,,,
post,it will be great if you could post soemthing about it,INCOMING,TRUE,you,you,something,something,,
post,I need to post a formal message,OUTGOING,TRUE,I,I,message,a formal message,,
post,yes please post the computer,INCOMING,FALSE,,,,,,
post,no I cannot post it today since I am waiting for their update,OUTGOING,FALSE,,,,,,
add,I will add this to my tasks,OUTGOING,TRUE,I,I,this,this,,
add,"Sure, I will add the new data to the analysis ",OUTGOING,TRUE,I,I,data,the new data,,
add,I know I need to add more data to the analysis,OUTGOING,TRUE,I,I,data,more data,,
add,If you could add more details it will be great,INCOMING,TRUE,you,you,details,more details,,
add,Please add this photo to the presentation,INCOMING,TRUE,photo,this photo,,,,
add,if you have any ideas you can add them to the presentation as well,INCOMING,FALSE,,,,,,
add,please add your ideas to the document,INCOMING,TRUE,,,ideas,your ideas,,
add,I need you to add more details I don't understand,INCOMING,TRUE,you,you,details,more details,,
add,yes add this file too it might be helpful,INCOMING,TRUE,,,file,this file,,
add,I am intending to add a new version don't worry,OUTGOING,TRUE,I,I,version,a new version,,
add,"Yes I will add your results to my slides, as they are very helpful",OUTGOING,TRUE,I,I,results,your results,,
add,Hi can you please add me to the group?,INCOMING,TRUE,you,you,me,me,,
add,Please add the document to the group folder,INCOMING,TRUE,,,document,the document,,
add,"Hi I had no time to add the last resuls to the report, sorry",OUTGOING,FALSE,,,,,,
add,I will add my results to the weekly report,OUTGOING,TRUE,I,I,results,my results,,
add,Please add your comments on the slides,INCOMING,TRUE,,,comments,your comments,,
add,"Yes if you can add some info, it will be very helpful",INCOMING,TRUE,you,you,info,some info,,
add,I don't think it's necessary to add more data,OUTGOING,FALSE,,,,,,
add,of couse I will add another slide to the presentation,OUTGOING,TRUE,I,I,slide,another slide,,
add,I will add your idea too don't worry,OUTGOING,TRUE,I,I,idea,your idea,,
provide,can you provide more info about existing efforts and future opportunities?,INCOMING,TRUE,you,you,info,more info,,
provide,Yes I will provide more details,OUTGOING,TRUE,I,I,details,more details,,
provide,Is it possible for you to provide some details about the recent activity?,INCOMING,TRUE,you,you,details,some details,,
provide,If you have any more details please provide them to the group,INCOMING,FALSE,,,,,,
provide,"if you could provide more details, it will be very helpful",INCOMING,TRUE,you,you,details,more details,,
provide,Can you please provide more anwers about this issue?,INCOMING,TRUE,you,you,answers,more answers,,
provide,Will you please provide us with more info?,INCOMING,TRUE,you,you,info,more info,us,us
provide,I can not provide more details at this point,OUTGOING,FALSE,,,,,,
provide,I will provide more info when I get to the office don't worry,OUTGOING,TRUE,I,I,info,more info,,
provide,"I can provide more details, sure",OUTGOING,TRUE,I,I,details,more details,,
find,Can you please find info about the conference?,INCOMING,TRUE,you,you,info,info,,
find,I'll find more details about this task and send to people you've mentioned,OUTGOING,TRUE,I,I,details,more details,,
find,Can you please find a new feature for this?,INCOMING,TRUE,you,you,feature,a new feature,,
find,Will you please find relevant research about it?,INCOMING,TRUE,you,you,research,a relevant research,,
find,Is it possible that you'll find a new list?,INCOMING,TRUE,you,you,list,a new list,me,me
find,Yes I can find the newest paper about this topic,OUTGOING,TRUE,I,I,paper,the newest paper,,
find,If you could please find another tool it will be great,INCOMING,TRUE,you,you,tool,another tool,,
find,"No problem, I will find someone else that is more available ",OUTGOING,TRUE,I,I,someone,someone else,,
find,Can you please help to find more details about this company?,INCOMING,TRUE,you,you,details,more details,,
find,"I need you to find the last update about this issue, it's urgent",INCOMING,TRUE,I,I,update,the last update,,
share,If you are at your office please share your screen,INCOMING,FALSE,,,,,,
share,Please share your results,INCOMING,TRUE,,,results,your results,,
share,I will share my insights with you don't worry,OUTGOING,TRUE,I,I,insights,my insights,,
share,I am going to share this information with you but not with him,OUTGOING,TRUE,I,I,information,this information,,
share,Hi can you please share the last report?,INCOMING,TRUE,you,you,report,the last report,,
share,"I know, that's why I am going to share the presentation in the next meeting",OUTGOING,TRUE,I,I,presentation,the presentation,,
share,I should share this file I guess,OUTGOING,TRUE,I,I,file,this file,,
share,Will you please share the results that you received,INCOMING,TRUE,you,you,results,the results,,
share,Are you able to share this information with the group?,INCOMING,TRUE,you,you,information,this information,,
share,I will share the top commets here ,OUTGOING,TRUE,I,I,comments,the top comments,,
delete ,Yes I will delete this from the forum,OUTGOING,TRUE,I,I,this,this,,
delete ,Can you please delete the previous update?,INCOMING,TRUE,you,you,update,the previous update,,
delete ,I will delete the file from the folder,OUTGOING,TRUE,I,I,file,the file,,
delete ,Would you please delete this member from the contacts list?,INCOMING,TRUE,you,you,member,this member,,
delete ,Can you please delete the tasks that you are no longer working on? I need to update the group tasks list,INCOMING,TRUE,you,you,tasks,the tasks,,
delete ,Yes no problem I can delete it,OUTGOING,TRUE,I,I,it,it,,
delete ,"Hi if you could please delete my name out of the list it will be great, tnx",INCOMING,TRUE,you,you,name,my name,,
delete ,I need you to delete the file when you get to the office,INCOMING,TRUE,you,you,file,the file,,
delete ,I will delete this task from my list,OUTGOING,TRUE,I,I,task,this task,,
delete ,"I need to delete the last restul, it is not relevant ",OUTGOING,TRUE,I,I,result,the last result,,
test,Hi can you please test the new version?,INCOMING,TRUE,you,you,version,the new version,,
test,"Hi will you test the last version, it is urgent for today",INCOMING,TRUE,you,you,version,the last verion,,
test,"Yes I can test this version, no problem",OUTGOING,TRUE,I,I,version,this version,,
test,"I need you to test this version for me please, but do it today ok?",INCOMING,TRUE,you,you,version,this version,me,me
test,Yes I should test the last version before it is released ,OUTGOING,TRUE,I,I,version,the last verion,,
test,I need to test the results until 6pm,OUTGOING,TRUE,I,I,results ,the results,,
test,I will test the last results ,OUTGOING,TRUE,I,I,results,the last results,,
test,Don't worry I will test the results today and will send you my outputs,OUTGOING,TRUE,I,I,results,the results,,
test,I can test the current version but I am not sure that it is stable,OUTGOING,TRUE,I,I,version,the current version,,
test,Please test this file today,INCOMING,TRUE,,,file,this file,,
share,"I know it's hard for you, I share your pain",OUTGOING,FALSE,,,,,,
share,"I am sorry to hear that, I share your sorrow ",OUTGOING,FALSE,,,,,,
share,I will share the computer with you,OUTGOING,FALSE,,,,,,
share,"If it's possible, please share your presentation with us",INCOMING,TRUE,,,presentation,yourpresentation,,
send,if you could please send me your results It'll be great,INCOMING,TRUE,you,you,reults,your results,,
send,Can you please send me your comments today if it's ok?,INCOMING,TRUE,you,you,comments,your comments,,
send,Hi do I need to send the file to you?,OUTGOING,FALSE,,,,,,
send,I would ask you to send me the latest version but it's too late now,INCOMING,FALSE,,,,,,
send,"I could send the results to her now, but I don't think it will help",OUTGOING,FALSE,,,,,,
send ,Can I send you the files later please?,OUTGOING,FALSE,,,,,,
send,I must send the files now?,OUTGOING,FALSE,,,,,,
send,please don't send me this email..,INCOMING,FALSE,,,,,,
send,"If you are in the office right now, please send me the latest restuls ",INCOMING,FALSE,,,,,,
test,I canÍt test it yet because I am waiting for the last updated version ,OUTGOING,FALSE,,,,,,
test,"if it's possible, please test this version ASAP",INCOMING,TRUE,,,version,this version,,
test,No I could not test it today since it wasn't ready,OUTGOING,FALSE,,,,,,
test,Should I test this version?,OUTGOING,FALSE,,,,,,
test,I wanted to test these results before releasing the version ,OUTGOING,FALSE,,,,,,
test,I need to test out my new laptop,OUTGOING,FALSE,,,,,,
test,"I need to test the results today, but I don't have enough time so I will do it tomorrow",OUTGOING,FALSE,,,,,,
test,please test this verion today if it's possible,INCOMING,TRUE,,,version,this version,,
test,"I would test it today but I am leaving early, sorry",OUTGOING,FALSE,,,,,,
test,I can't test the version today,OUTGOING,FALSE,,,,,,
test,I will try to test the results today if I get to the office early enough ,OUTGOING,FALSE,,,,,,
add,Yes I would add my money but I don't have my walet here,OUTGOING,FALSE,,,,,,
add,you could have added this file too,INCOMING,FALSE,,,,,,
add,you may want to add this file too,INCOMING,TRUE,you,you,file,this file,,
add,if you approve it I am going to add this feature too,OUTGOING,FALSE,,,,,,
add,should I add you to my list?,OUTGOING,FALSE,,,,,,
add,It will be wonderful if you could add me to the group list,INCOMING,TRUE,you,you,me,me,,
update,Should I send you the update now?,OUTGOING,FALSE,,,,,,
update,you might want to update your tasks today,INCOMING,TRUE,you,you,tasks,your tasks,,
update,Do I need to update this document or not?,OUTGOING,FALSE,,,,,,
update,Do you need to update the file before sending it to me?,INCOMING,FALSE,,,,,,
update,Please update me about the current situation if you have time,INCOMING,FALSE,,,,,,
update,if it's possible please update the group today ,INCOMING,TRUE,,,group,the group,,
update,"I was going to update the file today, but then I had to read the last paper so I will wait with it",OUTGOING,FALSE,,,,,,
update,I would update the file but I am waiting for her outputs ,OUTGOING,FALSE,,,,,,
update,"I could update  you with this, but I am not allowed to do so",OUTGOING,FALSE,,,,,,
update,"If you are in the office today, I need you to update our document ",INCOMING,FALSE,,,,,,
give,Please give me your inputs about this report if you have time today,INCOMING,FALSE,,,,,,
give,"If it's ok, please give me your inputs about the last report ",INCOMING,TRUE,,,inputs,your inputs,,
give,Would you please give me more information about the data?,INCOMING,TRUE,you,you,information,more information,me,me
give,could you please give me your charger today?,INCOMING,TRUE,you,you,charger,your charger ,me,me
give,You could give it to me today if you want,INCOMING,FALSE,,,,,,
give,"I know, I give free rein to these kind of things, I don't mind",OUTGOING,FALSE,,,,,,
give,"It's absurd, please don't give me that line",INCOMING,FALSE,,,,,,
give,"Yes, of course I will do it. Please just give me a second",INCOMING,FALSE,,,,,,
give,I'd be glad if you could give me a hand with this,INCOMING,FALSE,,,,,,
give,"Yes, no problem, I am just waiting for you to give me the green light",INCOMING,FALSE,,,,,,
find,Can you please find this information ASAP? I need it today,INCOMING,TRUE,you,you,information,this information,,
find,Do you need this file for today?,INCOMING,FALSE,,,,,,
find,"Yes, I know, this bug is very problematic, I need to find a workaround",OUTGOING,FALSE,,,,,,
find,Could you please find the time to finish this task today?,INCOMING,FALSE,,,,,,
find,Yes I am still new here but I will find my feet soon I guess,OUTGOING,FALSE,,,,,,
find,I thought I was going to find the research today but eventually I had to leave for a meeting ,OUTGOING,FALSE,,,,,,
find,"If itÍs ok, please find the last research about this topic",INCOMING,TRUE,,,research,the last research,,
find,"Sorry, I couldn't find the last report. Do you know who might have it?",OUTGOING,FALSE,,,,,,
find,"I will find the best resources today, if I have enough time for it",OUTGOING,FALSE,,,,,,
find,"It's a major problem, I can't find the last saved file I had ",OUTGOING,FALSE,,,,,,
delete ,Could you plese delete this line form the file?,INCOMING,TRUE,you,you,line,this line,,
delete ,I can delete the sentence today but it will only be updated tomorrow,OUTGOING,TRUE,I,I,sentence,the sentence,,
delete ,"you might want to delete these details from the presentation, not sure we are allowed to put them there",INCOMING,TRUE,you,you,details,these details,,
delete ,I think you should delete this post from the forum,INCOMING,TRUE,you,you,post,this post,,
delete ,"I would delete it, but I've already sent it",OUTGOING,TRUE,,,,,,
delete ,Should I delete this file from my folder or not?,OUTGOING,FALSE,,,,,,
delete ,"If it's ok, delete the last file from the folder so it will be updated",INCOMING,TRUE,,,file,the last file,,
delete ,"I had to delete it, sorry, I will help you rewrite it",OUTGOING,FALSE,,,,,,
delete ,please make sure to delete all the finished tasks from the board If you are at the office,INCOMING,FALSE,,,,,,
delete ,Could you please delete my name from your list? I am getting these emails all the time,INCOMING,TRUE,you,you,name,my name,,
upload,Is it possible that you upload the file with the results today?,INCOMING,TRUE,you,you,file,the file with the results,,
upload,I need you to upload the report ASAP ,INCOMING,TRUE,you,you,report ,the report,,
upload,"If you are in the office today, please upload the recent data so we can all use it",INCOMING,FALSE,,,,,,
upload,"if it's not too much trouble, please upload your file today",INCOMING,FALSE,,,,,,
upload,I need you to upload your report today if it's possible,INCOMING,TRUE,you,you,report,your report,,
upload,"I forgot to upload the last file too, sorry",OUTGOING,FALSE,,,,,,
upload,"I will upload this report in case I am at the office today, don't know yet",OUTGOING,FALSE,,,,,,
upload,"I can't upload the file, there is a bug in the service",OUTGOING,FALSE,,,,,,
upload,"Yes, I have uploaded the file when I got to the office",OUTGOING,FALSE,,,,,,
upload,I should upload this file today since everyone needs it,OUTGOING,TRUE,I,I,file,this file,,
ask,I can ask him if you want,OUTGOING,FALSE,,,,,,
ask,"please ask the manager about the files, if it's ok ",INCOMING,TRUE,,,manager,the manager,,
ask,please ask him for more information if you are already here,INCOMING,FALSE,,,,,,
ask,"I don't know, it's a big ask. I will let you know later",OUTGOING,FALSE,,,,,,
ask,"Yes, this is a fantastic analysis, I couldn't ask for more!",OUTGOING,FALSE,,,,,,
ask,"This is really great, I thought you'd never ask!",INCOMING,FALSE,,,,,,
ask,Should I ask the manager about this?,OUTGOING,FALSE,,,,,,
ask,"Hi, I think you should ask the manager",INCOMING,TRUE,you,you,manager,the manager,,
ask,"No, I didn't ask him eventually, I can do it today",OUTGOING,FALSE,,,,,,
ask,"I don't know, sorry, if you could please ask the manager about it it will be great",INCOMING,TRUE,you,you,manager,the manager,,
post,please post your report today If it's ok,INCOMING,TRUE,,,report,your report,,
post,"I don't know, but if you could post your results today it will be great",INCOMING,TRUE,you,you,results,your results,,
post,"If you are going to the meeting today, please post your data",INCOMING,FALSE,,,,,,
post,Yes you could post it if you want,INCOMING,FALSE,,,,,,
post,I could post the last results but I don't know if it's a good idea,OUTGOING,FALSE,,,,,,
post,"If it's ok, please post my review ",INCOMING,TRUE,,,review,my review,,
post,"I can't post it because my account is blocked for the moment, sorry",OUTGOING,FALSE,,,,,,
post,I will post the results today if I get to the office,OUTGOING,FALSE,,,,,,
post,"It will be very helpful if you could post your tasks so everyone can see them, tnx",INCOMING,TRUE,you,you,tasks,your tasks,,
post,"I would post my file on the forum, but for some reason my internet connection is gone",OUTGOING,FALSE,,,,,,
send,please send me the last results If you are at the office,INCOMING,FALSE,,,,,,
send,"I forgot to send the file to him yesterday therefore it was delayed, sorry",OUTGOING,FALSE,,,,,,
send,Could you please send me the last email about the conference?,INCOMING,TRUE,you,you,email,the last email,me,me
add,I will add the new text to my powrpoint ,OUTGOING,TRUE,I,I,text,the new text,,
add,"No problem, I will add this meeting to my calendar",OUTGOING,TRUE,I,I,meeting,this meeting,,
add,Can you please add this information to the weekly status?,INCOMING,TRUE,you,you,information,this information,,
add,It is essential that you add this file today,INCOMING,TRUE,you,you,file,this file,,
add,"Yes, the meeting occurs today so please add this video to the presentation as soon as you can",INCOMING,TRUE,,,video,this video,,
add,"It's not urgent, just please add the data to the file",INCOMING,TRUE,,,data,the data,,
add,"I need to present it in the meeting, so add this soon please",INCOMING,TRUE,,,this,this,,
add,"I have a meeting now, will add the file to the folder later",OUTGOING,TRUE,I,I,file,the file,,
add,"It's in the last data files, I will add the text files to the folder",OUTGOING,TRUE,I,I,files,the text files,,
add,"I received the email, I will add our meeting to my calendar",OUTGOING,TRUE,I,I,meeting,our meeting,,
submit,I need you to submit your status in the forum today,INCOMING,TRUE,you,you,status,your status ,,
submit,Is it possible that you to submit your report this week?,INCOMING,TRUE,you,you,report,your report,,
submit,"Hi, please try to submit the request today",INCOMING,TRUE,,,request,the request,,
submit,I will submit the paper today,OUTGOING,TRUE,I,I,paper,the paper,,
submit,"I will arrive late today, please submit the report for me",INCOMING,TRUE,,,report,the report,me,me
submit,I am currently not at the office but I will submit my request as soon as I can ,OUTGOING,TRUE,I,I,request,my request,,
submit,Are you able to submit our requests today?,INCOMING,TRUE,you,you,requests,our requests,,
submit,"Yes of course, I will submit the file when I get to the office",OUTGOING,TRUE,I,I,file,the file,,
submit,It's urgent so please submit your report today,INCOMING,TRUE,,,focal,your focal,,
submit,Can you please submit the updated report today?,INCOMING,TRUE,you,you,report,the updated report,,
highlight,Please highlight your comments ,INCOMING,TRUE,,,comments,your comments,,
highlight,"I forgot to ask you, but please highlight the important key words when you read it",INCOMING,TRUE,,,things,the important key words,,
highlight,Yes I think you should just hightlight these words and then send them out,INCOMING,TRUE,you,you,words,these words,,
highlight,"It's for tomorrow, so just highlight the most important topics and we'll discuss them",INCOMING,TRUE,,,topics,the most important topics,,
highlight,"I will read the paper, highlight the key words for us, I will send it to you later",OUTGOING,TRUE,I,I,words,the key words,us,us
highlight,"Yes, I will go over the report and hightlight my comments ",OUTGOING,TRUE,I,I,comments,my comments,,
highlight,"Of course, I will go over it today and hightlight the words for you",OUTGOING,TRUE,I,I,words,the words,you,you
highlight,I'll get to the office soon so I will go over your presentation and highlight my corrections,OUTGOING,TRUE,I,I,corrections,my corrections,,
highlight,Can you please hightlight the notes for me?,INCOMING,TRUE,you,you,notes,the notes,me,me
highlight,"I will highlight the important topics in the document, check it out later",OUTGOING,TRUE,I,I,verbs,the important topics ,,
share,would you please share this information with us?,INCOMING,TRUE,you,you,information,this information,,
share,Are you able to share some insights at the next meeting?,INCOMING,TRUE,you,you,insights,some insights,,
share,Is it ok to ask you to share your abstract with the group?,INCOMING,TRUE,you,you,abstract,your abstract,,
share, I guess that you can share the agenda with us,INCOMING,TRUE,you,you,agenda,the agenda,,
